"","UF","ESTRATO_POF","TIPO_SITUACAO_REG","COD_UPA","NUM_DOM","NUM_UC","COD_INFORMANTE","QUADRO","SEQ","V9001","V9013","PESO","PESO_FINAL","RENDA_TOTAL"
"18861",27,2704,1,270014450,12,1,1,29,20,2902101,1,309.54461177,431.13684909,1328.95
"18862",27,2704,1,270014450,12,1,1,42,1,4200201,1,309.54461177,431.13684909,1328.95
"18863",27,2704,1,270014450,12,1,1,42,3,4200401,1,309.54461177,431.13684909,1328.95
"18864",27,2704,1,270000171,5,1,1,42,10,4201101,1,728.76260582,1015.02788827,1845.32
"18865",27,2704,1,270000171,5,1,1,42,11,4201201,1,728.76260582,1015.02788827,1845.32
"18866",27,2704,1,270000171,5,1,3,42,14,4201501,2,728.76260582,1015.02788827,1845.32
"18867",27,2704,1,270000171,8,1,1,42,9,4201001,1,728.76260582,1015.02788827,1566.14
"18868",27,2704,1,270000171,8,1,1,42,27,4202801,1,728.76260582,1015.02788827,1566.14
"18869",27,2705,1,270027560,1,1,3,42,1,4200201,1,333.46153846,442.84942053,2953.81
"18870",27,2705,1,270027560,1,1,3,42,3,4200401,1,333.46153846,442.84942053,2953.81
"18871",27,2705,1,270027560,2,1,2,29,0,2900101,1,333.46153846,442.84942053,3157.74
"18872",27,2705,1,270027560,2,1,2,29,8,2900901,1,333.46153846,442.84942053,3157.74
"18873",27,2705,1,270027560,2,1,2,42,18,4201901,1,333.46153846,442.84942053,3157.74
"18874",27,2705,1,270027560,3,1,1,29,3,2900401,1,333.46153846,442.84942053,2533.01
"18875",27,2705,1,270027560,3,1,1,42,16,4201701,1,333.46153846,442.84942053,2533.01
"18876",27,2705,1,270027560,3,1,1,42,19,4202001,1,333.46153846,442.84942053,2533.01
"18877",27,2705,1,270027560,3,1,1,42,20,4202101,1,333.46153846,442.84942053,2533.01
"18878",27,2705,1,270027560,6,1,1,29,15,2901601,1,333.46153846,442.84942053,1424.05
"18879",27,2705,1,270027560,6,1,1,29,21,2902201,1,333.46153846,442.84942053,1424.05
"18880",27,2705,1,270027560,6,1,1,42,19,4202001,1,333.46153846,442.84942053,1424.05
"18881",27,2705,1,270027560,6,1,2,42,19,4202001,1,333.46153846,442.84942053,1424.05
"18882",27,2705,1,270027560,7,1,1,42,33,4201707,1,333.46153846,442.84942053,1243.83
"18883",27,2705,1,270027560,7,1,2,42,16,4201701,1,333.46153846,442.84942053,1243.83
"18884",27,2705,1,270027560,9,1,1,29,0,2900101,1,333.46153846,442.84942053,525.29
"18885",27,2705,1,270027560,9,1,1,29,2,2900301,1,333.46153846,442.84942053,525.29
"18886",27,2705,1,270027560,9,1,1,42,17,4201801,1,333.46153846,442.84942053,525.29
"18887",27,2705,1,270024870,2,1,1,42,1,4200201,1,352.61520318,468.28620511,1441.99
"18888",27,2705,1,270024870,2,1,2,42,1,4200201,1,352.61520318,468.28620511,1441.99
"18889",27,2705,1,270024870,2,1,2,42,7,4200801,1,352.61520318,468.28620511,1441.99
"18890",27,2705,1,270024870,2,1,3,42,1,4200201,1,352.61520318,468.28620511,1441.99
